,,,,Labels (version 1999 except in italics = version 1995),,,,NUTS ,Sorting order ,,
404,DEA41,DEA41,,,,"Bielefeld, Kreisfreie Stadt ",,3,3,404,404
405,DEA42,DEA42,,,,Gütersloh ,,3,3,405,405
406,DEA43,DEA43,,,,Herford ,,3,3,406,406
407,DEA44,DEA44,,,,Höxter ,,3,3,407,407
408,DEA45,DEA45,,,,Lippe ,,3,3,408,408
409,DEA46,DEA46,,,,Minden-Lübbecke,,3,3,409,409
410,DEA47,DEA47,,,,Paderborn ,,3,3,410,410
411,DEA5,DEA5,,,Arnsberg ,,,2,3,411,411
412,DEA51,DEA51,,,,"Bochum, Kreisfreie Stadt",,3,3,412,412
413,DEA52,DEA52,,,,"Dortmund, Kreisfreie Stadt ",,3,3,413,413
414,DEA53,DEA53,,,,"Hagen, Kreisfreie Stadt ",,3,3,414,414
415,DEA54,DEA54,,,,"Hamm, Kreisfreie Stadt",,3,3,415,415
416,DEA55,DEA55,,,,"Herne, Kreisfreie Stadt ",,3,3,416,416
417,DEA56,DEA56,,,,Ennepe-Ruhr-Kreis ,,3,3,417,417
418,DEA57,DEA57,,,,Hochsauerlandkreis,,3,3,418,418
419,DEA58,DEA58,,,,Märkischer Kreis ,,3,3,419,419
420,DEA59,DEA59,,,,Olpe ,,3,3,420,420
421,DEA5A,DEA5A,,,,Siegen-Wittgenstein,,3,3,421,421
422,DEA5B,DEA5B,,,,Soest ,,3,3,422,422
423,DEA5C,DEA5C,,,,Unna ,,3,3,423,423
424,DEB,DEB,,RHEINLAND-PFALZ ,,,,1,3,424,424
425,DEB1,DEB1,,,Koblenz ,,,2,3,425,425
426,DEB11,DEB11,,,,"Koblenz, Kreisfreie Stadt",,3,3,426,426
427,DEB12,DEB12,,,,Ahrweiler ,,3,3,427,427
428,DEB13,DEB13,,,,Altenkirchen (Westerwald),,3,3,428,428
429,DEB14,DEB14,,,,Bad Kreuznach ,,3,3,429,429
430,DEB15,DEB15,,,,Birkenfeld,,3,3,430,430
431,DEB16,DEB16,,,,Cochem-Zell ,,3,3,431,431
432,DEB17,DEB17,,,,Mayen-Koblenz ,,3,3,432,432
433,DEB18,DEB18,,,,Neuwied ,,3,3,433,433
434,DEB19,DEB19,,,,Rhein-Hunsrück-Kreis,,3,3,434,434
435,DEB1A,DEB1A,,,,Rhein-Lahn-Kreis ,,3,3,435,435
436,DEB1B,DEB1B,,,,Westerwaldkreis ,,3,3,436,436
437,DEB2,DEB2,,,Trier ,,,2,3,437,437
438,DEB21,DEB21,,,,"Trier, Kreisfreie Stadt ",,3,3,438,438
439,DEB22,DEB22,,,,Bernkastel-Wittlich ,,3,3,439,439
440,DEB23,DEB23,,,,Bitburg-Prüm ,,3,3,440,440
441,DEB24,DEB24,,,,Daun ,,3,3,441,441
442,DEB25,DEB25,,,,Trier-Saarburg ,,3,3,442,442
443,DEB3,DEB3,,,Rheinhessen-Pfalz ,,,2,3,443,443
444,DEB31,DEB31,,,,"Frankenthal (Pfalz), Kreisfreie Stadt ",,3,3,444,444
445,DEB32,DEB32,,,,"Kaiserslautern, Kreisfreie Stadt ",,3,3,445,445
446,DEB33,DEB33,,,,"Landau in der Pfalz, Kreisfreie Stadt ",,3,3,446,446
447,DEB34,DEB34,,,,"Ludwigshafen am Rhein, Kreisfreie Stadt",,3,3,447,447
448,DEB35,DEB35,,,,"Mainz, Kreisfreie Stadt ",,3,3,448,448
449,DEB36,DEB36,,,,"Neustadt an der Weinstraße, Kreisfreie Stadt",,3,3,449,449
450,DEB37,DEB37,,,,"Pirmasens, Kreisfreie Stadt ",,3,3,450,450
451,DEB38,DEB38,,,,"Speyer, Kreisfreie Stadt ",,3,3,451,451
452,DEB39,DEB39,,,,"Worms, Kreisfreie Stadt ",,3,3,452,452
453,DEB3A,DEB3A,,,,"Zweibrücken, Kreisfreie Stadt ",,3,3,453,453
454,DEB3B,DEB3B,,,,Alzey-Worms ,,3,3,454,454
455,DEB3C,DEB3C,,,,Bad Dürkheim ,,3,3,455,455
456,DEB3D,DEB3D,,,,Donnersbergkreis,,3,3,456,456
457,DEB3E,DEB3E,,,,Germersheim ,,3,3,457,457
458,DEB3F,DEB3F,,,,"Kaiserslautern, Landkreis ",,3,3,458,458
459,DEB3G,DEB3G,,,,Kusel,,3,3,459,459
460,DEB3H,DEB3H,,,,Südliche Weinstraße,,3,3,460,460
461,DEB3I,DEB3I,,,,"Ludwigshafen, Landkreis",,3,3,461,461
462,DEB3J,DEB3J,,,,Mainz-Bingen ,,3,3,462,462
463,DEB3K,DEB3K,,,,Südwestpfalz,Name change,3,3,463,463
464,DEC,DEC,,SAARLAND,,,,1,3,464,464
465,DEC,DEC,,,Saarland,,,2,3,465,465
466,DEC01,DEC01,,,,Stadtverband Saarbrücken,,3,3,466,466
467,DEC02,DEC02,,,,Merzig-Wadern,,3,3,467,467
468,DEC03,DEC03,,,,Neunkirchen ,,3,3,468,468
469,DEC04,DEC04,,,,Saarlouis ,,3,3,469,469
470,DEC05,DEC05,,,,Saarpfalz-Kreis,,3,3,470,470
471,DEC06,DEC06,,,,St. Wendel ,,3,3,471,471
472,DED,DED,,SACHSEN ,,,,1,3,472,472
473,DED,,,,Sachsen,,Split,2,3,473,
474,DED (part),DED1,,,Chemnitz,,New region,2,3,,473
475,DED01,,,,,"Chemnitz, Kreisfreie Stadt",Terminated,3,3,474, 
476,,DED11,,,,"Chemnitz, Kreisfreie Stadt",New region,3,3,,474
477,DED05, ,,,,"Plauen, Kreisfreie Stadt",Terminated,3,3,478, 
478, ,DED12,,,,"Plauen, Kreisfreie Stadt",New region,3,3,,475
479,DED06, ,,,,"Zwickau, Kreisfreie Stadt",Terminated,3,3,479, 
480, ,DED13,,,,"Zwickau, Kreisfreie Stadt",New region,3,3,,476
481,DED0C,DED14,,,,Annaberg,Code change,3,3,485,477
482,DED0E,,,,,Chemnitzer Land,Terminated,3,3,487, 
483,,DED15,,,,Chemnitzer Land,New region,3,3,,478
484,DED0H,,,,,Freiberg,Terminated,3,3,490, 
485,,DED16,,,,Freiberg,New region,3,3,,479
486,DED07,DED17 (part),,,,Auerbach,Merged,3,3,480,
487,DED08,DED17 (part),,,,Klingenthal,Merged,3,3,481,
488,DED09,DED17 (part),,,,Oelsnitz,Merged,3,3,482,
489,DED0A,DED17 (part),,,,Plauen-Land,Merged,3,3,483,
490,DED0B,DED17 (part),,,,Reichenbach,Merged,3,3,484,
491,,DED17,,,,Vogtlandkreis,New region,3,3,,480
492,DED0K,,,,,Mittlerer Erzgebirgskreis,Terminated,3,3,493, 
493,,DED18,,,,Mittlerer Erzgebirgskreis,New region,3,3,,481
494,DED0L,,`,,,Mittweida,Terminated,3,3,494, 
495,,DED19,`,,,Mittweida,New region,3,3,,482
496,DED0S,,,,,Stollberg,Terminated,3,3,500, 
497,,DED1A,,,,Stollberg,New region,3,3,,483
498,DED0V,DED1B,,,,Aue-Schwarzenberg,Code change,3,3,503,484
499,DED0X, ,,,,Zwickauer Land,Terminated,3,3,505, 
500, ,DED1C,,,,Zwickauer Land,New region,3,3,,485
501,DED (part),DED2,,,Dresden,,New region,2,3,,486
502,DED02,,,,,"Dresden, Kreisfreie Stadt",Terminated,3,3,475, 
503,,DED21,,,,"Dresden, Kreisfreie Stadt",New region,3,3,,487
504,DED0Y,,,,,Dresden-Land,Terminated,3,3,506,
505,DED03,,,,,"Görlitz, Kreisfreie Stadt",Terminated,3,3,476, 
506,,DED22,,,,"Görlitz, Kreisfreie Stadt",New region,3,3,,488
507,DED0Z, ,,,,Hoyerswerda,Terminated,3,3,507, 
508, ,DED23,,,,"Hoyerswerda, Kreisfreie Stadt",New region,3,3,,489
509,DED0D,DED24,,,,Bautzen,Code change,3,3,486,490
510,DED0J, ,,,,Meißen,Terminated,3,3,492, 
511, ,DED25,,,,Meißen,New region,3,3,,491
512,DED0N, ,,,,Niederschlesischer Oberlausitzkreis,Terminated,3,3,496, 
513, ,DED26,,,,Niederschlesischer Oberlausitzkreis,New region,3,3,,492
514,DED0P,DED27,,,,Riesa-Großenhain,Code change,3,3,497,493
515,DED0Q,DED28,,,,Löbau-Zittau,Code change,3,3,498,494
516,DED0R,,,,,Sächsische Schweiz,Terminated,3,3,499, 
517,,DED29,,,,Sächsische Schweiz,New region,3,3,,495
518,DED0U,,,,,Weißeritzkreis,Terminated,3,3,502, 
519,,DED2A,,,,Weißeritzkreis,New region,3,3,,496
520,DED0W,,,,,Kamenz,Terminated,3,3,504, 
521,,DED2B,,,,Kamenz,New region,3,3,,497
522,DED (part),DED3,`,,Leipzig,,New region,2,3,,498
523,DED04,,,,,"Leipzig, Kreisfreie Stadt",Terminated,3,3,477, 
524,,DED31,,,,"Leipzig, Kreisfreie Stadt",New region,3,3,,499
525,DED0F,,,,,Delitzsch,Terminated,3,3,488, 
526,,DED32,,,,Delitzsch,New region,3,3,,500
527,DED0G,DED33,,,,Döbeln,Code change,3,3,489,501
528,DED0I,,,,,Leipziger Land,Terminated,3,3,491, 
529,,DED34,,,,Leipziger Land,New region,3,3,,502
530,DED0M,,,,,Muldentalkreis,Terminated,3,3,495, 
531,,DED35,,,,Muldentalkreis,New region,3,3,,503
532,DED0T,DED36,,,,Torgau-Oschatz,Code change,3,3,501,504
533,DEE,DEE,,SACHSEN-ANHALT ,,,,1,3,508,505
534,DEE1,DEE1,,,Dessau ,,,2,3,509,506
535,DEE11,DEE11,,,,"Dessau, Kreisfreie Stadt",,3,3,510,507
536,DEE12,DEE12,,,,Anhalt-Zerbst,,3,3,511,508
537,DEE13,DEE13,,,,Bernburg ,,3,3,512,509
538,DEE14,DEE14,,,,Bitterfeld ,,3,3,513,510
539,DEE15,DEE15,,,,Köthen ,,3,3,514,511
540,DEE16,DEE16,,,,Wittenberg,,3,3,515,512
541,DEE2,DEE2,,,Halle,,,2,3,516,513
542,DEE21,DEE21,,,,"Halle (Saale), Kreisfreie Stadt",,3,3,517,514
543,DEE22,DEE22,,,,Burgenlandkreis,,3,3,518,515
544,DEE23,DEE23,,,,Mansfelder Land,,3,3,519,516
545,DEE24,DEE24,,,,Merseburg-Querfurt,,3,3,520,517
546,DEE25,DEE25,,,,Saalkreis,,3,3,521,518
547,DEE26,DEE26,,,,Sangerhausen,,3,3,522,519
548,DEE27,DEE27,,,,Weißenfels ,,3,3,523,520
549,DEE3,DEE3,,,Magdeburg,,,2,3,524,521
550,DEE31,DEE31,,,,"Magdeburg, Kreisfreie Stadt",,3,3,525,522
551,DEE32,DEE32,,,,Aschersleben-Staßfurt,,3,3,526,523
552,DEE33,DEE33,,,,Bördekreis,,3,3,527,524
553,DEE34,DEE34,,,,Halberstadt,,3,3,528,525
554,DEE35,DEE35,,,,Jerichower Land,,3,3,529,526
555,DEE36,DEE36,,,,Ohrekreis,,3,3,530,527
556,DEE37,DEE37,,,,Stendal,,3,3,531,528
557,DEE38,DEE38,,,,Quedlinburg ,,3,3,532,529
558,DEE39,DEE39,,,,Schönebeck,,3,3,533,530
559,DEE3A,DEE3A,,,,Wernigerode,,3,3,534,531
560,DEE3B,DEE3B,,,,Altmarkkreis Salzwedel,,3,3,535,532
561,DEF,DEF,,SCHLESWIG-HOLSTEIN ,,,,1,3,536,533
562,DEF,DEF,,,Schleswig-Holstein,,,2,3,537,534
563,DEF01,DEF01,,,,"Flensburg, Kreisfreie Stadt ",,3,3,538,535
564,DEF02,DEF02,,,,"Kiel, Kreisfreie Stadt",,3,3,539,536
565,DEF03,DEF03,,,,"Lübeck, Kreisfreie Stadt ",,3,3,540,537
566,DEF04,DEF04,,,,"Neumünster, Kreisfreie Stadt ",,3,3,541,538
567,DEF05,DEF05,,,,Dithmarschen ,,3,3,542,539
568,DEF06,DEF06,,,,Herzogtum Lauenburg ,,3,3,543,540
569,DEF07,DEF07,,,,Nordfriesland,,3,3,544,541
570,DEF08,DEF08,,,,Ostholstein,,3,3,545,542
571,DEF09,DEF09,,,,Pinneberg,,3,3,546,543
572,DEF0A,DEF0A,,,,Plön ,,3,3,547,544
573,DEF0B,DEF0B,,,,Rendsburg-Eckernförde,,3,3,548,545
574,DEF0C,DEF0C,,,,Schleswig-Flensburg ,,3,3,549,546
575,DEF0D,DEF0D,,,,Segeberg ,,3,3,550,547
576,DEF0E,DEF0E,,,,Steinburg ,,3,3,551,548
577,DEF0F,DEF0F,,,,Stormarn ,,3,3,552,549
578,DEG,DEG,,THÜRINGEN ,,,,1,3,553,550
579,DEG,DEG,,,Thüringen,,,2,3,554,551
580,DEG01,DEG01,,,,"Erfurt, Kreisfreie Stadt",,3,3,555,552
581,DEG02,DEG02,,,,"Gera, Kreisfreie Stadt",,3,3,556,553
582,DEG03,DEG03,,,,"Jena, Kreisfreie Stadt",,3,3,557,554
583,DEG04,DEG04,,,,"Suhl, Kreisfreie Stadt",,3,3,558,555
584,DEG05,DEG05,,,,"Weimar, Kreisfreie Stadt",,3,3,559,556
585,DEG06,DEG06,,,,Eichsfeld,,3,3,560,557
586,DEG07,DEG07,,,,Nordhausen,,3,3,561,558
587,DEG08,,,,,Wartburgkreis,Split,3,3,562,
588,DEG08 (part),DEG0N,,,,"Eisenach, Kreisfreie Stadt",New region,3,3,,573
589,DEG08 (part),DEG0P,,,,Wartburgkreis,New region,3,3,,574
590,DEG09,DEG09,,,,Unstrut-Hainich-Kreis,,3,3,563,559
591,DEG0A,DEG0A,,,,Kyffhäuserkreis,,3,3,564,560
592,DEG0B,DEG0B,,,,Schmalkalden-Meiningen,,3,3,565,561
593,DEG0C,DEG0C,,,,Gotha,,3,3,566,562
594,DEG0D,DEG0D,,,,Sömmerda,,3,3,567,563
595,DEG0E,DEG0E,,,,Hildburghausen,,3,3,568,564
596,DEG0F,DEG0F,,,,Ilm-Kreis,,3,3,569,565
597,DEG0G,DEG0G,,,,Weimarer Land,,3,3,570,566
598,DEG0H,DEG0H,,,,Sonneberg ,,3,3,571,567
599,DEG0I,DEG0I,,,,Saalfeld-Rudolstadt,,3,3,572,568
600,DEG0J,DEG0J,,,,Saale-Holzland-Kreis,,3,3,573,569
601,DEG0K,DEG0K,,,,Saale-Orla-Kreis,,3,3,574,570
602,DEG0L,DEG0L,,,,Greiz,,3,3,575,571
603,DEG0M,DEG0M,,,,Altenburger Land,,3,3,576,572
604,GR,GR,ΕΛΛΑΔΑ,,,,,0,4,577,575
605,GR1,GR1,,ΒΟΡΕΙΑ ΕΛΛΑΔΑ ,,,,1,4,578,576
606,GR11,GR11,,,"Aνατολική Μακεδονία, Θράκη ",,,2,4,579,577
607,GR111,GR111,,,,Έβρος ,,3,4,580,578
608,GR112,GR112,,,,Ξάνθη ,,3,4,581,579
609,GR113,GR113,,,,Ροδόπη ,,3,4,582,580
610,GR114,GR114,,,,Δράμα ,,3,4,583,581
611,GR115,GR115,,,,Καβάλα ,,3,4,584,582
612,GR12,GR12,,,Κεντρική Μακεδονία ,,,2,4,585,583
613,GR121,GR121,,,,Ημαθία ,,3,4,586,584
614,GR122,GR122,,,,Θεσσαλονίκη ,,3,4,587,585
615,GR123,GR123,,,,Κιλκίς ,,3,4,588,586
616,GR124,GR124,,,,Πέλλα ,,3,4,589,587
617,GR125,GR125,,,,Πιερία ,,3,4,590,588
618,GR126,GR126,,,,Σέρρες ,,3,4,591,589
619,GR127,GR127,,,,Χαλκιδική ,,3,4,592,590
620,GR13,GR13,,,Δυτική Μακεδονία ,,,2,4,593,591
621,GR131,GR131,,,,Γρεβενά ,,3,4,594,592
622,GR132,GR132,,,,Καστοριά ,,3,4,595,593
623,GR133,GR133,,,,Κοζάνη ,,3,4,596,594
624,GR134,GR134,,,,Φλώρινα ,,3,4,597,595
625,GR14,GR14,,,Θεσσαλία ,,,2,4,598,596
626,GR141,GR141,,,,Καρδίτσα ,,3,4,599,597
627,GR142,GR142,,,,Λάρισα ,,3,4,600,598
628,GR143,GR143,,,,Μαγνησία ,,3,4,601,599
629,GR144,GR144,,,,Τρίκαλα ,,3,4,602,600
630,GR2,GR2,,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ ,,,,1,4,603,601
631,GR21,GR21,,,Ήπειρος ,,,2,4,604,602
632,GR211,GR211,,,,Άρτα ,,3,4,605,603
633,GR212,GR212,,,,Θεσπρωτία ,,3,4,606,604
634,GR213,GR213,,,,Ιωάννινα,,3,4,607,605
635,GR214,GR214,,,,Πρέβεζα ,,3,4,608,606
636,GR22,GR22,,,Ιόνια Νησιά ,,,2,4,609,607
637,GR221,GR221,,,,Ζάκυνθος ,,3,4,610,608
638,GR222,GR222,,,,Κέρκυρα,,3,4,611,609
639,GR223,GR223,,,,Κεφαλληνία,,3,4,612,610
640,GR224,GR224,,,,Λευκάδα ,,3,4,613,611
641,GR23,GR23,,,Δυτική Ελλάδα ,,,2,4,614,612
642,GR231,GR231,,,,Αιτωλοακαρνανία ,,3,4,615,613
643,GR232,GR232,,,,Αχαΐα ,,3,4,616,614
644,GR233,GR233,,,,Ηλεία ,,3,4,617,615
645,GR24,GR24,,,Στερεά Ελλάδα ,,,2,4,618,616
646,GR241,GR241,,,,Βοιωτία ,,3,4,619,617
647,GR242,GR242,,,,Εύβοια ,,3,4,620,618
648,GR243,GR243,,,,Ευρυτανία ,,3,4,621,619
649,GR244,GR244,,,,Φθιώτιδα ,,3,4,622,620
650,GR245,GR245,,,,Φωκίδα ,,3,4,623,621
651,GR25,GR25,,,Πελοπόννησος ,,,2,4,624,622
652,GR251,GR251,,,,Αργολίδα ,,3,4,625,623
653,GR252,GR252,,,,Αρκαδία ,,3,4,626,624
654,GR253,GR253,,,,Κορινθία ,,3,4,627,625
655,GR254,GR254,,,,Λακωνία ,,3,4,628,626
656,GR255,GR255,,,,Μεσσηνία ,,3,4,629,627
657,GR3,GR3,,ATTIKΗ ,,,,1,4,630,628
658,GR3,GR3,,,Aττική,,,2,4,631,629
659,GR3,GR3,,,,Aττική,,3,4,632,630
660,GR4,GR4,,"NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ ",,,,1,4,633,631
661,GR41,GR41,,,Βόρειο Αιγαίο,,,2,4,634,632
662,GR411,GR411,,,,Λέσβος ,,3,4,635,633
663,GR412,GR412,,,,Σάμος ,,3,4,636,634
664,GR413,GR413,,,,Χίος ,,3,4,637,635
665,GR42,GR42,,,Νότιο Αιγαίο ,,,2,4,638,636
666,GR421,GR421,,,,Δωδεκάνησος ,,3,4,639,637
667,GR422,GR422,,,,Κυκλάδες ,,3,4,640,638
668,GR43,GR43,,,Κρήτη ,,,2,4,641,639
669,GR431,GR431,,,,Ηράκλειο ,,3,4,642,640
670,GR432,GR432,,,,Λασίθι ,,3,4,643,641
671,GR433,GR433,,,,Ρεθύμνη ,,3,4,644,642
672,GR434,GR434,,,,Χανιά ,,3,4,645,643
673,ES,ES,ESPAÑA ,,,,,0,5,646,644
674,ES1,ES1,,NOROESTE,,,,1,5,647,645
675,ES11,ES11,,,Galicia ,,,2,5,648,646
676,ES111,ES111,,,,A Coruña ,,3,5,649,647
677,ES112,ES112,,,,Lugo,,3,5,650,648
678,ES113,ES113,,,,Ourense ,,3,5,651,649
679,ES114,ES114,,,,Pontevedra,,3,5,652,650
680,ES12,ES12,,,Principado de Asturias,,,2,5,653,651
681,ES12,ES12,,,,Asturias,,3,5,654,652
682,ES13,ES13,,,Cantabria ,,,2,5,655,653
683,ES13,ES13,,,,Cantabria,,3,5,656,654
684,ES2,ES2,,NORESTE ,,,,1,5,657,655
685,ES21,ES21,,,País Vasco,,,2,5,658,656
686,ES211,ES211,,,,Álava ,,3,5,659,657
687,ES212,ES212,,,,Guipúzcoa ,,3,5,660,658
688,ES213,ES213,,,,Vizcaya ,,3,5,661,659
689,ES22,ES22,,,Comunidad Foral de Navarra,,,2,5,662,660
690,ES22,ES22,,,,Navarra,,3,5,663,661
691,ES23,ES23,,,La Rioja,,,2,5,664,662
692,ES23,ES23,,,,La Rioja,,3,5,665,663
693,ES24,ES24,,,Aragón ,,,2,5,666,664
694,ES241,ES241,,,,Huesca ,,3,5,667,665
695,ES242,ES242,,,,Teruel ,,3,5,668,666
696,ES243,ES243,,,,Zaragoza,,3,5,669,667
697,ES3,ES3,,COMUNIDAD DE MADRID,,,,1,5,670,668
698,ES3,ES3,,,Comunidad de Madrid,,,2,5,671,669
699,ES3,ES3,,,,Madrid,,3,5,672,670
700,ES4,ES4,,CENTRO (E) ,,,,1,5,673,671
701,ES41,ES41,,,Castilla y León,,,2,5,674,672
702,ES411,ES411,,,,Ávila,,3,5,675,673
703,ES412,ES412,,,,Burgos ,,3,5,676,674
704,ES413,ES413,,,,León ,,3,5,677,675
705,ES414,ES414,,,,Palencia,,3,5,678,676
706,ES415,ES415,,,,Salamanca ,,3,5,679,677
707,ES416,ES416,,,,Segovia ,,3,5,680,678
708,ES417,ES417,,,,Soria ,,3,5,681,679
709,ES418,ES418,,,,Valladolid ,,3,5,682,680
710,ES419,ES419,,,,Zamora,,3,5,683,681
711,ES42,ES42,,,Castilla-La Mancha,,,2,5,684,682
712,ES421,ES421,,,,Albacete ,,3,5,685,683
713,ES422,ES422,,,,Ciudad Real ,,3,5,686,684
714,ES423,ES423,,,,Cuenca ,,3,5,687,685
715,ES424,ES424,,,,Guadalajara,,3,5,688,686
716,ES425,ES425,,,,Toledo ,,3,5,689,687
717,ES43,ES43,,,Extremadura,,,2,5,690,688
718,ES431,ES431,,,,Badajoz ,,3,5,691,689
719,ES432,ES432,,,,Cáceres ,,3,5,692,690
720,ES5,ES5,,ESTE ,,,,1,5,693,691
721,ES51,ES51,,,Cataluña ,,,2,5,694,692
722,ES511,ES511,,,,Barcelona ,,3,5,695,693
723,ES512,ES512,,,,Girona,,3,5,696,694
724,ES513,ES513,,,,Lleida,,3,5,697,695
725,ES514,ES514,,,,Tarragona ,,3,5,698,696
726,ES52,ES52,,,Comunidad Valenciana,,,2,5,699,697
727,ES521,ES521,,,,Alicante / Alacant,,3,5,700,698
728,ES522,ES522,,,,Castellón / Castelló,,3,5,701,699
729,ES523,ES523,,,,Valencia / València,,3,5,702,700
730,ES53,ES53,,,Illes Balears,,,2,5,703,701
731,ES53,ES53,,,,Illes Balears,,3,5,704,702
732,ES6,ES6,,SUR ,,,,1,5,705,703
733,ES61,ES61,,,Andalucía ,,,2,5,706,704
734,ES611,ES611,,,,Almería,,3,5,707,705
735,ES612,ES612,,,,Cádiz ,,3,5,708,706
736,ES613,ES613,,,,Córdoba ,,3,5,709,707
737,ES614,ES614,,,,Granada ,,3,5,710,708
738,ES615,ES615,,,,Huelva,,3,5,711,709
739,ES616,ES616,,,,Jaén ,,3,5,712,710
740,ES617,ES617,,,,Málaga ,,3,5,713,711
741,ES618,ES618,,,,Sevilla ,,3,5,714,712
742,ES62,ES62,,,Región de Murcia,,,2,5,715,713
743,ES62,ES62,,,,Murcia,,3,5,716,714
744,ES63,ES63,,,Ceuta y Melilla,,,2,5,717,715
745,ES631,ES631,,,,Ceuta ,,3,5,718,716
746,ES632,ES632,,,,Melilla ,,3,5,719,717
747,ES7,ES7,,CANARIAS ,,,,1,5,720,718
748,ES7,ES7,,,Canarias,,,2,5,721,719
749,ES701,ES701,,,,Las Palmas,,3,5,722,720
750,ES702,ES702,,,,Santa Cruz de Tenerife,,3,5,723,721
751,FR,FR,FRANCE,,,,,0,6,724,722
752,FR1,FR1,,ÎLE DE FRANCE ,,,,1,6,725,723
753,FR1,FR1,,,Île de France,,,2,6,726,724
754,FR101,FR101,,,,Paris ,,3,6,727,725
755,FR102,FR102,,,,Seine-et-Marne ,,3,6,728,726
756,FR103,FR103,,,,Yvelines ,,3,6,729,727
757,FR104,FR104,,,,Essonne ,,3,6,730,728
758,FR105,FR105,,,,Hauts-de-Seine ,,3,6,731,729
759,FR106,FR106,,,,Seine-Saint-Denis ,,3,6,732,730
760,FR107,FR107,,,,Val-de-Marne ,,3,6,733,731
761,FR108,FR108,,,,Val-d'Oise ,,3,6,734,732
762,FR2,FR2,,BASSIN PARISIEN ,,,,1,6,735,733
763,FR21,FR21,,,Champagne-Ardenne ,,,2,6,736,734
764,FR211,FR211,,,,Ardennes ,,3,6,737,735
765,FR212,FR212,,,,Aube ,,3,6,738,736
766,FR213,FR213,,,,Marne,,3,6,739,737
767,FR214,FR214,,,,Haute-Marne ,,3,6,740,738
768,FR22,FR22,,,Picardie,,,2,6,741,739
769,FR221,FR221,,,,Aisne,,3,6,742,740
770,FR222,FR222,,,,Oise ,,3,6,743,741
771,FR223,FR223,,,,Somme ,,3,6,744,742
772,FR23,FR23,,,Haute-Normandie ,,,2,6,745,743
773,FR231,FR231,,,,Eure ,,3,6,746,744
774,FR232,FR232,,,,Seine-Maritime ,,3,6,747,745
775,FR24,FR24,,,Centre,,,2,6,748,746
776,FR241,FR241,,,,Cher ,,3,6,749,747
777,FR242,FR242,,,,Eure-et-Loir,,3,6,750,748
778,FR243,FR243,,,,Indre ,,3,6,751,749
779,FR244,FR244,,,,Indre-et-Loire ,,3,6,752,750
780,FR245,FR245,,,,Loir-et-Cher ,,3,6,753,751
781,FR246,FR246,,,,Loiret ,,3,6,754,752
782,FR25,FR25,,,Basse-Normandie ,,,2,6,755,753
783,FR251,FR251,,,,Calvados ,,3,6,756,754
784,FR252,FR252,,,,Manche ,,3,6,757,755
785,FR253,FR253,,,,Orne ,,3,6,758,756
786,FR26,FR26,,,Bourgogne ,,,2,6,759,757
787,FR261,FR261,,,,Côte-d'Or,,3,6,760,758
788,FR262,FR262,,,,Nièvre ,,3,6,761,759
789,FR263,FR263,,,,Saône-et-Loire ,,3,6,762,760
790,FR264,FR264,,,,Yonne ,,3,6,763,761
791,FR3,FR3,,NORD - PAS-DE-CALAIS ,,,,1,6,764,762
792,FR3,FR3,,,Nord - Pas-de-Calais,,,2,6,765,763
793,FR301,FR301,,,,Nord ,,3,6,766,764
794,FR302,FR302,,,,Pas-de-Calais ,,3,6,767,765
795,FR4,FR4,,EST ,,,,1,6,768,766
796,FR41,FR41,,,Lorraine ,,,2,6,769,767
797,FR411,FR411,,,,Meurthe-et-Moselle,,3,6,770,768
798,FR412,FR412,,,,Meuse ,,3,6,771,769
799,FR413,FR413,,,,Moselle ,,3,6,772,770
800,FR414,FR414,,,,Vosges ,,3,6,773,771
801,FR42,FR42,,,Alsace ,,,2,6,774,772
802,FR421,FR421,,,,Bas-Rhin,,3,6,775,773
803,FR422,FR422,,,,Haut-Rhin,,3,6,776,774
804,FR43,FR43,,,Franche-Comté ,,,2,6,777,775
805,FR431,FR431,,,,Doubs ,,3,6,778,776
806,FR432,FR432,,,,Jura ,,3,6,779,777
807,FR433,FR433,,,,Haute-Saône ,,3,6,780,778
808,FR434,FR434,,,,Territoire de Belfort ,,3,6,781,779
809,FR5,FR5,,OUEST ,,,,1,6,782,780
810,FR51,FR51,,,Pays de la Loire,,,2,6,783,781
811,FR511,FR511,,,,Loire-Atlantique ,,3,6,784,782
812,FR512,FR512,,,,Maine-et-Loire ,,3,6,785,783
813,FR513,FR513,,,,Mayenne,,3,6,786,784
814,FR514,FR514,,,,Sarthe ,,3,6,787,785
815,FR515,FR515,,,,Vendée ,,3,6,788,786
816,FR52,FR52,,,Bretagne,,,2,6,789,787
817,FR521,FR521,,,,Côtes-d'Armor,,3,6,790,788
818,FR522,FR522,,,,Finistère ,,3,6,791,789
819,FR523,FR523,,,,Ille-et-Vilaine,,3,6,792,790
820,FR524,FR524,,,,Morbihan,,3,6,793,791
821,FR53,FR53,,,Poitou-Charentes,,,2,6,794,792
822,FR531,FR531,,,,Charente,,3,6,795,793
823,FR532,FR532,,,,Charente-Maritime ,,3,6,796,794
824,FR533,FR533,,,,Deux-Sèvres ,,3,6,797,795
825,FR534,FR534,,,,Vienne ,,3,6,798,796
826,FR6,FR6,,SUD-OUEST,,,,1,6,799,797
